NumTargets,Top-K,Random,Single
5,0.14361809730499436,0.04024078265326668,0.2235018641501665
10,0.04951263827929404,0.02347241129211493,0.10193012589993684
20,0.029751187816401126,0.032985470285708376,0.0379456647032265
50,0.0328279981032241,0.0264892441572184,0.07324519461845277
172,0.03438384580469224,0.03866998289715672,0.13672577211253778
