Target,Top-K,Random,Single
ABBV,0.04841819084494522,0.05495742029126953,0.04874614791737662
AMZN,0.04276728137445293,0.036480431928865464,0.07288117868744809
MSFT,0.043690762016922235,0.04399974480763359,0.056377716524445495
